Order,Family,Subfamily,Genus,Type Species?,Species,Exemplar Accession Number,Exemplar Isolate,Genome Composition,Last Change,MSL of Last Changed,Proposal,Taxon History URL
Caudovirales,Myoviridae,,Viunalikevirus,0,Salmonella phage Sfp10,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140110
Caudovirales,Myoviridae,,Viunalikevirus,0,Salmonella phage Sh19,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140111
Caudovirales,Myoviridae,,Viunalikevirus,1,Salmonella phage ViI,,,dsDNA,"New,Assigned as Type Species,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140112
Caudovirales,Myoviridae,,Viunalikevirus,0,Shigella phage Ag3,,,dsDNA,"New,",27,2012.007a-dB.A.v2.Viunalikevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140113
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,0,Pantoea phage Limelight,,,dsDNA,"New,",27,2012.006aB.A.v2.PhiKMV-like-2sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140127
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,0,Pantoea phage Limezero,,,dsDNA,"New,",27,2012.006aB.A.v2.PhiKMV-like-2sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140128
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,0,Pseudomonas phage LKA1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140129
Caudovirales,Podoviridae,Autographivirinae,Phikmvlikevirus,1,Pseudomonas phage phiKMV,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140130
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,0,Enterobacteria phage K5,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140132
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,0,Enterobacteria phage K1-5,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140133
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,0,Enterobacteria phage K1E,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140134
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,1,Enterobacteria phage SP6,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140135
Caudovirales,Podoviridae,Autographivirinae,Sp6likevirus,0,Erwinia amylovora phage Era103,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140136
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,1,Enterobacteria phage T7,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140138
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,0,Kluyvera phage Kvp1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140139
Caudovirales,Podoviridae,Autographivirinae,T7likevirus,0,Pseudomonad phage gh-1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140140
Caudovirales,Podoviridae,Autographivirinae,Unassigned,0,Prochlorococcus phage P-SSP7,,,dsDNA,"New,",25,2008.066B.v2.P-SSP7-Sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140142
Caudovirales,Podoviridae,Autographivirinae,Unassigned,0,Synechococcus phage P60,,,dsDNA,"New,",25,2008.053B.v2.P60-Sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140143
Caudovirales,Podoviridae,Autographivirinae,Unassigned,0,Synechococcus phage syn5,,,dsDNA,"New,",25,2008.070B.v2.syn5-Sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140144
Caudovirales,Podoviridae,Picovirinae,Ahjdlikevirus,1,Staphylococcus phage 44AHJD,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140147
Caudovirales,Podoviridae,Picovirinae,Ahjdlikevirus,0,Streptococcus phage C1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140148
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,0,Bacillus phage B103,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140150
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,0,Bacillus phage GA-1,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140151
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,1,Bacillus phage phi29,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140152
Caudovirales,Podoviridae,Picovirinae,Phi29likevirus,0,Kurthia phage 6,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140153
Caudovirales,Podoviridae,Picovirinae,Unassigned,0,Actinomyces phage Av-1,,,dsDNA,"New,",25,2008.011a-gB.v3.Picovirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140155
Caudovirales,Podoviridae,Picovirinae,Unassigned,0,Mycoplasma phage P1,,,dsDNA,"New,",25,2008.052B.v2.P1-Sp,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140156
Caudovirales,Podoviridae,Picovirinae,Unassigned,0,Streptococcus phage Cp-1,,,dsDNA,"Moved,",25,2008.011a-gB.v3.Picovirinae; 2008.061-062B.v2.Cp-1move,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140157
Caudovirales,Podoviridae,,Bcep22likevirus,1,Burkholderia phage Bcep22,AY349011,,dsDNA,"New,",29,2013.038a-dB.A.v4.Bcep22likevirus,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140187
